"Place","Name","Club","Age","Distance","Gender","Year"
"59","David Moser","NTEX","34","3040","Men","2009"
"61","Jason A Rivers","WMST","33","3015","Men","2009"
"62","Clint G Gayle","PNA","34","2860","Men","2009"
"63","Luis A Ortiz","ARIZ","33","2760","Men","2009"
"64","Eduardo Avelar","DAM","31","2660","Men","2009"
"65","Christopher F Staples","TNYA","34","2400","Men","2009"
"1","Tyler J Blessing","TXLA","36","5540","Men","2009"
"2","Josh C Davis","MOST","36","5290","Men","2009"
"3","Brad M Shenfeld","UCLA","37","5250","Men","2009"
"4","Michael A Ingardia","MELO","38","5140","Men","2009"
"5","Benjamin M Morse","MESC","36","5125","Men","2009"
"6","Jeffrey J Jotz","GSM","38","5075","Men","2009"
"7","David A Cloninger","OREG","39","5045","Men","2009"
"8","Jeremy Houchens","ISF","38","5030","Men","2009"
"9","Taylor A Spangler","DAM","37","5020","Men","2009"
"10","Ernie Hoftyzer","DAM","39","4920","Men","2009"
"11","Mike Broglio","NEM","37","4900","Men","2009"
"12","Chris E Kovacs","NEM","39","4875","Men","2009"
"13","David M Edwards","SCA","39","4840","Men","2009"
"14","Peter D Hepburn","IM","38","4825","Men","2009"
"14","Martin A Armstrong","VCM","38","4825","Men","2009"
"14","Ed Stoner","ADMS","35","4825","Men","2009"
"17","Rob W McDonnell","SCA","36","4795","Men","2009"
"18","Don C Rambadt","WMAC","38","4785","Men","2009"
"19","Kenneth A Frost","TAM","36","4770","Men","2009"
"19","Vince Dietsch","TXLA","38","4770","Men","2009"
"21","Christian C Honeker","NEM","38","4740","Men","2009"
"22","Aric L Gregson","UCLA","38","4735","Men","2009"
"23","Kevin Joubert","BATC","36","4720","Men","2009"
"23","Karl R Gundersen","SLAM","39","4720","Men","2009"
"25","John W Chung","VCM","38","4710","Men","2009"
"26","Brad L Winsor","DAM","37","4650","Men","2009"
"27","Peter J Letendre","NEM","39","4640","Men","2009"
"28","Onesimo C Demira","TNYA","35","4630","Men","2009"
"29","Stephen M Le Sieur","MELO","35","4625","Men","2009"
"30","Keith Benson","TAM","36","4620","Men","2009"
"31","John W Doolittle","SPM","39","4600","Men","2009"
"32","Erich Manser","NEM","36","4590","Men","2009"
"33","Chris C Kellerman","MELO","38","4575","Men","2009"
"34","Kevin W Morgan","OREG","38","4560","Men","2009"
"35","Jaime P Comstock","PNA","39","4530","Men","2009"
"36","Michael J Guirl","MOST","37","4485","Men","2009"
"37","Sean P Mc Kinley","ART","35","4450","Men","2009"
"37","Jason C Bonander","UNAT","39","4450","Men","2009"
"39","David C Forsee","ISF","39","4425","Men","2009"
"40","Aaron L Frame","MICH","39","4415","Men","2009"
"41","Jeffrey K Berridge","ISF","38","4400","Men","2009"
"41","CJ Rushman","SKY","37","4400","Men","2009"
"43","Jeffrey E Wood","NEM","39","4390","Men","2009"
"44","Mark Cronin","CMYM","35","4385","Men","2009"
"45","Matthew D Blood","METR","35","4320","Men","2009"
"46","Douglas S Trumpey","ISF","38","4255","Men","2009"
"47","Phillip T Dawkins","ISF","35","4235","Men","2009"
"48","Roy Silver","UCLA","35","4225","Men","2009"
"49","Drew Y Sanders","TOC","38","4190","Men","2009"
"50","Scott A Bieker","CTRI","38","4170","Men","2009"
"51","Claudio Meneses","DAM","37","4165","Men","2009"
"51","Mark S Goldman","DAM","37","4165","Men","2009"
"53","David Redinger","SKY","35","4160","Men","2009"
"54","Joel Laino","NEM","39","4125","Men","2009"
"55","Jonathan P Doherty","MOST","39","4120","Men","2009"
"56","Tom Schulz","PNA","38","4105","Men","2009"
"57","Matthew D Peck","UNAT","38","4070","Men","2009"
"58","Michael A Behrens","UCLA","39","4065","Men","2009"
"59","David Dreith","SWOM","39","4060","Men","2009"
"60","John P Margiotta","AGUA","37","4055","Men","2009"
"61","Eduardo Olid","DAM","36","4050","Men","2009"
"62","Randall A Chamberlain","TNYA","39","4010","Men","2009"
"63","Paul Widman","SKY","35","4000","Men","2009"
"63","Rob Butcher","NCMS","36","4000","Men","2009"
"63","Bill Duffield","UNAT","38","4000","Men","2009"
"66","James J Fick","BATC","35","3990","Men","2009"
"67","Leroy J Thomas","YCAM","36","3975","Men","2009"
"68","Harry P Teichman","SPM","38","3940","Men","2009"
"69","Paul F Plaisance","SMS","38","3925","Men","2009"
"70","Adrian Rishworth","NEM","39","3920","Men","2009"
"71","Thomas J Bisel","KNIG","37","3910","Men","2009"
"72","William R Carr","TNYA","39","3870","Men","2009"
"73","Christian F Tujo","OREG","37","3860","Men","2009"
"74","Chris Rudolph","UNAT","39","3855","Men","2009"
"75","Shannon D Schwartz","MVM","38","3835","Men","2009"
"76","Bill Rencher","ART","38","3825","Men","2009"
"76","Jeff Liu","LBG","35","3825","Men","2009"
"78","Brent A Shannon","CSAM","38","3800","Men","2009"
"79","Merrick Cohn","SCA","39","3750","Men","2009"
"80","Bryan Williams","NTEX","36","3740","Men","2009"
"81","Michael R Asam","GAJA","37","3730","Men","2009"
"82","Dustin M Baker","NEM","37","3720","Men","2009"
"83","Srikant R Ayyar","UCLA","37","3670","Men","2009"
"84","Christian Herrera","UCLA","35","3655","Men","2009"
"85","Troy A Youngblood","SSMS","35","3640","Men","2009"
"86","David Barron","NTEX","35","3625","Men","2009"
"87","Michael S Courson","ISF","39","3620","Men","2009"
"88","Kevin B Capp","UNAT","38","3600","Men","2009"
"89","Mark D Wholey","NEM","38","3590","Men","2009"
"90","Ben R Owen","ARKM","35","3570","Men","2009"
"91","Shane Anthony","PNA","39","3525","Men","2009"
"91","Sean George","NCMS","37","3525","Men","2009"
"91","Jim D Duncan","SKY","38","3525","Men","2009"
"94","Shachar Malka","DAM","37","3520","Men","2009"
"95","Khalid A El‐Awady","MVM","38","3490","Men","2009"
"96","David J Finlay","MVM","37","3480","Men","2009"
"97","Chapin P Hunt","UCLA","38","3475","Men","2009"
"98","Paul M Majors","UNAT","37","3460","Men","2009"
"99","Paul F Foronda","MVM","37","3450","Men","2009"
"100","Marc Ishisaka‐Nolfi","DAM","39","3430","Men","2009"
"101","Hugh L McClendon","ARKM","35","3420","Men","2009"
"102","Brett K Johnston","NEM","36","3400","Men","2009"
"103","Jack P Chen","DAM","37","3385","Men","2009"
"104","Scott W Pfeifer","DAM","36","3360","Men","2009"
"105","Robert A Lee","NEM","35","3350","Men","2009"
"106","Roderrick R Umali","DAM","38","3320","Men","2009"
"107","Joseph C Lim","TNYA","36","3265","Men","2009"
"108","Mike J Bitzer","ARKM","37","3225","Men","2009"
"109","Mark D Chappell","ISF","38","3200","Men","2009"
"110","Alex Wright","DAM","36","3170","Men","2009"
"110","Wojciech B Sobocinski","UCLA","36","3170","Men","2009"
"112","Marcos R Otazo","CMYM","38","3140","Men","2009"
"113","Martin G Prego","GOLD","35","3125","Men","2009"
"113","Jason E Bundy","DAM","38","3125","Men","2009"
"115","Whitney A Campbell","WMST","35","3110","Men","2009"
"116","Brent Stratton","UCLA","38","3050","Men","2009"
"117","Mike R King","WAVA","35","3000","Men","2009"
"118","Tim R LaRocca","UCLA","37","2975","Men","2009"
"119","Jason M Fisk","DAM","36","2970","Men","2009"
"120","Raul E Castro","DAM","39","2875","Men","2009"
"121","Greg G Levine","ART","39","2825","Men","2009"
"122","Chuck Winrich","NEM","39","2605","Men","2009"
"123","Rob M Dalbesio","CRUZ","36","2550","Men","2009"
"124","Bo Trainor","RIDG","39","2150","Men","2009"
"125","Aaron F Thomas","ARKM","39","2000","Men","2009"
"125","David Sexton","ARKM","35","2000","Men","2009"
"127","Lance B Garvin","ISF","37","1500","Men","2009"
"1","Mike G Shaffer","VCM","43","5910","Men","2009"
"2","Randy M Eickhoff","SCA","43","5500","Men","2009"
"3","Jeff T Erwin","SAWS","44","5485","Men","2009"
"4","Kurt F Dickson","ARIZ","41","5465","Men","2009"
"5","David E Kays","PNA","41","5365","Men","2009"
"6","Stephen P Arvedson","DSSM","40","5190","Men","2009"
"7","Matthew R Gilson","NEM","41","5150","Men","2009"
"8","Kurtis C Baron","VCM","44","5115","Men","2009"
"9","Simon A Millar","UCLA","42","5100","Men","2009"
"10","Todd E Arris","TOC","43","4975","Men","2009"
"11","Sam H Manhart","MESC","40","5060","Men","2009"
"12","Brian S Rimel","SPM","42","5055","Men","2009"
"13","Robert E Breitel","ROSE","41","5035","Men","2009"
"14","Rob Jones","UNAT","43","5025","Men","2009"
"15","Eric J Heil","ARKM","41","5020","Men","2009"
"16","Chris A Clarke","ISF","40","4975","Men","2009"
